data,label
"[0.22317746 0.27833945 0.18685602 0.20850182 0.28746107 0.04649685
 0.20957606 0.28465426 0.03794071 0.20912367 0.3414867  0.12570468
 0.21415825 0.33511254 0.09417388 0.2675335  0.3939967  0.85341436
 0.27629018 0.3996677  0.7140452  0.48517057 0.25566652 0.47685152
 0.4718954  0.39972395 0.38186437 0.41810253 0.22290677 0.2608087
 0.4291035  0.256427   0.14064887 0.6722732  0.29303274 0.64299273
 0.65771073 0.30837542 0.46546897 0.37080598 0.08582412 0.66231036
 0.37164414 0.09037927 0.5211893  0.66080487 0.00415852 0.43293995
 0.64809257 0.01846863 0.6679215 ]",processed
"[0.24316408 0.28096944 0.38972    0.21782133 0.28835693 0.36982638
 0.21989053 0.28622782 0.3102666  0.2081703  0.34271905 0.46164206
 0.21310928 0.34818715 0.19918402 0.2674133  0.3917008  0.79629743
 0.27670103 0.39939252 0.6524428  0.4657252  0.24943258 0.59150606
 0.4864189  0.2755785  0.32983077 0.4244318  0.11866736 0.0871577
 0.4297476  0.20062031 0.16627324 0.6768872  0.3098118  0.5010379
 0.6626279  0.3271044  0.2676487  0.37612763 0.08045573 0.71898466
 0.37382564 0.08910386 0.35529426 0.63855374 0.00838479 0.43193048
 0.63304585 0.02584211 0.7675212 ]",processed
"[0.21062112 0.32921138 0.10991397 0.20150383 0.36340746 0.04890258
 0.2017833  0.3318292  0.04795784 0.20679061 0.383269   0.20524636
 0.20992845 0.3695856  0.08838984 0.26697722 0.40449002 0.80683726
 0.27430433 0.37275252 0.65244955 0.4574654  0.2377848  0.5982498
 0.41361338 0.2914636  0.1987513  0.40627712 0.1899096  0.22698249
 0.39431036 0.2041515  0.16210806 0.6826107  0.29447678 0.6347859
 0.6524417  0.29287654 0.39345858 0.36705354 0.08394289 0.5635541
 0.3559877  0.08876468 0.4864082  0.6696662  0.00738352 0.46080402
 0.6409058  0.01903375 0.4485915 ]",processed
"[0.22789301 0.33006105 0.05225321 0.21774383 0.33896014 0.02540902
 0.21939076 0.33474302 0.01833997 0.21654518 0.3907028  0.08065729
 0.21882233 0.3810529  0.02458267 0.26021904 0.40217972 0.56718105
 0.26785722 0.37494713 0.41563153 0.4710146  0.22996585 0.6298345
 0.46690732 0.23386459 0.30078775 0.40782094 0.19547203 0.22488542
 0.40736517 0.20455901 0.1481005  0.6681699  0.3093316  0.6582231
 0.6548555  0.28070778 0.4526643  0.3714555  0.08910538 0.62029135
 0.36694404 0.09087793 0.50384176 0.6685281  0.00918601 0.5444993
 0.6615717  0.01641741 0.62530595]",processed
"[0.45757735 0.6602112  0.34120527 0.4466815  0.6665535  0.4955672
 0.45495158 0.674953   0.38600993 0.45927775 0.6835623  0.24864225
 0.4627761  0.6998461  0.3627743  0.5028273  0.63509893 0.21154572
 0.57224816 0.69385606 0.29761305 0.52266943 0.53858566 0.15586746
 0.53914815 0.5847805  0.08984499 0.5373687  0.5754332  0.09756216
 0.49072117 0.68758756 0.24130799 0.59989077 0.40400755 0.31543112
 0.5857221  0.4362716  0.37529376 0.43345183 0.28866342 0.6710994
 0.4139255  0.36929545 0.49229625 0.6252071  0.20551656 0.8398765
 0.59597605 0.27893206 0.47280243]",processed
"[0.2270993  0.36075744 0.13782956 0.21416697 0.38362667 0.08169956
 0.21253103 0.3552955  0.08802377 0.22200888 0.39188686 0.20343076
 0.22593267 0.37022975 0.08648148 0.27083185 0.39983463 0.7258171
 0.2872284  0.35437354 0.54042363 0.45851648 0.23675483 0.71147126
 0.46015662 0.24342355 0.30534285 0.41490164 0.19717473 0.21414106
 0.41155872 0.19810924 0.20691893 0.68355584 0.315424   0.66367453
 0.66641974 0.2648896  0.44719186 0.36747217 0.08868673 0.51524514
 0.36589444 0.08481447 0.4223252  0.64730155 0.01297653 0.3438966
 0.64438206 0.01743758 0.66999626]",processed
"[0.22264919 0.34183204 0.12634642 0.21443923 0.3468682  0.10887015
 0.21715571 0.3414577  0.06524003 0.2231735  0.38890344 0.26861343
 0.23054801 0.3531088  0.14188266 0.26400542 0.4095971  0.7414466
 0.27697513 0.35472295 0.5256509  0.46697918 0.23976965 0.6352479
 0.45530266 0.25523722 0.20058642 0.41738203 0.1988183  0.28600672
 0.40871936 0.19695567 0.17357166 0.67619747 0.31187138 0.58355236
 0.6519388  0.25874916 0.31323454 0.37724587 0.09140896 0.52625483
 0.36368567 0.08836793 0.54754484 0.6686711  0.00611513 0.41919994
 0.63105637 0.01693733 0.35578927]",processed
"[0.21327059 0.31331152 0.06487364 0.20590532 0.32838947 0.04131879
 0.20650588 0.31618088 0.03585548 0.22242238 0.38164777 0.1599658
 0.22288904 0.35604125 0.05721499 0.26126885 0.4204736  0.59546816
 0.26978236 0.37580177 0.40714484 0.45395413 0.2370662  0.53921837
 0.39692676 0.26665398 0.18690261 0.4249825  0.15760711 0.16762024
 0.41125846 0.17796966 0.1582061  0.67993724 0.31106883 0.56415474
 0.63915324 0.2742338  0.27576476 0.37848276 0.1051439  0.5060918
 0.36468765 0.10399889 0.55305785 0.6721729  0.00706515 0.37730595
 0.657683   0.01734456 0.5841862 ]",processed
"[0.20886564 0.32241833 0.05381138 0.20312117 0.37573528 0.0249493
 0.20068477 0.32501855 0.02236157 0.21272379 0.39302498 0.14106083
 0.21218076 0.35509005 0.05767962 0.2630724  0.42470258 0.7440198
 0.27342755 0.351879   0.48480192 0.45107552 0.24500503 0.48177066
 0.3971549  0.26127732 0.21037461 0.4238748  0.13904233 0.16150421
 0.4044426  0.16979454 0.1548466  0.6863749  0.32016394 0.64615995
 0.64972985 0.27253005 0.34555778 0.381405   0.11864638 0.33007312
 0.36045718 0.09660606 0.5375867  0.6750068  0.0064175  0.3343567
 0.6634695  0.01815118 0.5578306 ]",processed
"[0.21067426 0.32250553 0.06220192 0.20057349 0.33106503 0.02896091
 0.20105597 0.32484314 0.02372437 0.21461444 0.41160774 0.08195443
 0.21161112 0.3407131  0.05102067 0.26484787 0.41837814 0.7586163
 0.2765967  0.33519366 0.49235365 0.4456275  0.25709784 0.46454012
 0.41498223 0.24490637 0.24490152 0.41049662 0.17484373 0.20481528
 0.4004127  0.16986723 0.17159641 0.67489    0.3153183  0.6279463
 0.6490698  0.2601317  0.34882644 0.40109128 0.18071544 0.24543709
 0.36208075 0.09585005 0.5582755  0.66967326 0.01085272 0.3531024
 0.5906571  0.0308592  0.20915526]",processed
